Nanea,19.7951801263423,-155.998184469076
Kapalua (Plantation),21.0070314511777,-156.640371353804
Princeville Golf Course - Prince,22.2107189774961,-159.453195525135
Mauna Kea Golf Course,20.0061681057192,-155.823015498998
Manele Golf Course,20.7408469091431,-156.903911465112
Kuki'O Golf Club,19.7981529613655,-155.987242808486
Hokulia,19.5062556288086,-155.947365455071
Kohanaiki,19.696632,-156.038648
Kukui'ula,21.8855400886372,-159.483618612108
Poipu Bay Golf Course,21.8777049612615,-159.436528784243
Hualalai (Ke’olu),19.8266611348929,-155.991906340892
Wailea (Gold),22.024909346161,-159.341638651542
Waialae,21.2713061110636,-157.776608846014
Hualalai (Hualâlai),19.8277517708338,-155.991819225916
Turtle Bay (Palmer),21.7018676366352,-157.995931649699
Princeville (Makai),22.2213203882443,-159.48366516548
Makena,20.6403131135772,-156.437716560948
Wailea (Emerald),20.6759242482243,-156.437260900525
Hoakalei,21.3117924996412,-158.0324125778
Mauna Lani (North),19.9388067000121,-155.867162834978
King Kamehameha,20.8407041137703,-156.51885552128
Hokuala (Ocean),21.9674921689869,-159.349262752107
Waikoloa Beach (King's),19.9210544294554,-155.874525019336
Mauna Lani (South),19.9388545377584,-155.867345656096
Kapalua (Bay),21.0070314511777,-156.640371353804
Ko'olau,21.3745347358129,-157.793572627887
Puakea,21.9648153756585,-159.374736188
Kapolei,21.3448193049552,-158.06052750989
Ko Olina,21.3401687269201,-158.119772672653
Ka‘anapali,20.9179315518756,-156.691041463822
